,NAME,PSRJ,P0,P1,BINCOMP,DISC
295,J0949-6902,J0949-6902,0.640016,6.37E-16,*,2012
296,B0950-38,J0952-3839,1.373815,5.8E-16,*,1978
297,B0950+08,J0953+0755,0.253065,2.3E-16,*,1968
298,J0954-5430,J0954-5430,0.472834,4.39E-14,*,2001
299,B0953-52,J0955-5304,0.862122,3.53E-15,*,1978
300,J0957-5432,J0957-5432,0.203557,1.95E-15,*,2001
301,B0957-47,J0959-4809,0.670086,8.2E-17,*,1978
302,J1000-5149,J1000-5149,0.255677,9.59E-16,*,2003
303,B0959-54,J1001-5507,1.436631,5.17E-14,*,1969
304,J1001-5559,J1001-5559,1.661177,8.6E-16,*,2001
305,J1001-5939,J1001-5939,7.73364,5.99E-14,*,2006
306,J1002-5559,J1002-5559,0.777501,1.57E-15,*,2001
307,J1002-5919,J1002-5919,0.713489,1.04E-16,*,2015
308,B1001-47,J1003-4747,0.307074,2.07E-15,*,1978
309,J1006-6311,J1006-6311,0.835797,5.73E-16,*,1998
310,B1010-23,J1012-2337,2.517945,8.81E-16,*,1978
311,J1012+5307,J1012+5307,0.005256,1.71E-20,He[cgk98],1995
312,J1012-5830,J1012-5830,2.133591,3.77E-14,*,2003
313,B1011-58,J1012-5857,0.819926,1.78E-14,*,1992
314,J1013-5934,J1013-5934,0.442901,5.57E-16,*,2003
315,J1015-5719,J1015-5719,0.139882,5.74E-14,*,2003
316,B1014-53,J1016-5345,0.769584,1.93E-15,*,1978
317,J1016-5819,J1016-5819,0.087834,6.98E-16,*,2001
318,J1016-5857,J1016-5857,0.107386,8.08E-14,*,2001
319,B1015-56,J1017-5621,0.503463,3.14E-15,*,1978
320,J1017-7156,J1017-7156,0.002339,2.22E-21,He[kjb+12],2012
321,B1016-16,J1018-1642,1.804695,1.74E-15,*,1985
322,J1019-5749,J1019-5749,0.162499,2.01E-14,*,2003
323,J1020-5921,J1020-5921,1.238305,4.05E-14,*,2003
324,J1020-6026,J1020-6026,0.14048,6.74E-15,*,2006
325,J1021-5601,J1021-5601,0.670026,5.34E-17,*,2004
326,J1022+1001,J1022+1001,0.016453,4.33E-20,CO[cnst96],1996
327,J1022-5813,J1022-5813,1.643726,1.45E-13,*,2003
328,J1023+0038,J1023+0038,0.001688,6.93E-21,MS[asr+09],2009
329,J1023-5746,J1023-5746,0.111472,3.84E-13,*,2010
330,J1024-0719,J1024-0719,0.005162,1.86E-20,MS[bjs+16],1997
331,J1028-5819,J1028-5819,0.091403,1.61E-14,*,2008
332,J1031-6117,J1031-6117,0.306411,1.78E-15,*,2003
333,J1032-5206,J1032-5206,2.407622,1.79E-14,*,2004
334,B1030-58,J1032-5911,0.464208,3E-15,*,1978
335,J1034-3224,J1034-3224,1.15059,2.3E-16,*,1996
336,J1035-6345,J1035-6345,0.579577,3.5E-16,*,2003
337,J1035-6720,J1035-6720,0.002872,4.65E-20,*,2018
338,J1036-4926,J1036-4926,0.510368,1.65E-15,*,1996
339,J1036-6559,J1036-6559,0.533502,1.36E-15,*,2012
340,J1038+0032,J1038+0032,0.028852,6.7E-20,*,2006
341,B1036-58,J1038-5831,0.661992,1.25E-15,*,1992
342,B1039-19,J1041-1942,1.386368,9.45E-16,*,1978
343,B1039-55,J1042-5521,1.170867,6.72E-15,*,1978
344,J1043-6116,J1043-6116,0.288602,1.04E-14,*,2003
345,J1044-5737,J1044-5737,0.139029,5.46E-14,*,2010
346,J1045-4509,J1045-4509,0.007474,1.77E-20,He[bhl+94],1994
347,J1046+0304,J1046+0304,0.326271,1.24E-16,*,2006
348,B1044-57,J1046-5813,0.369428,1.15E-15,*,1978
349,J1047-3032,J1047-3032,0.330328,6.1E-17,*,1998
350,J1047-6709,J1047-6709,0.198451,1.69E-15,*,1998
351,J1048+2339,J1048+2339,0.004665,3E-20,MS,2016
352,B1046-58,J1048-5832,0.123725,9.61E-14,*,1992
353,J1048-5838,J1048-5838,1.231305,1.22E-14,*,2010
354,J1049-5833,J1049-5833,2.202325,4.41E-15,*,2001
355,J1050-5953,J1050-5953,6.452077,3.81E-11,*,1986
356,J1052-5954,J1052-5954,0.180592,2E-14,*,2003
357,J1052-6348,J1052-6348,0.38383,3.87E-16,*,2004
358,J1054-5943,J1054-5943,0.346909,4.07E-15,*,2003
359,J1054-5946,J1054-5946,0.228324,2.09E-16,*,2012
360,J1054-6452,J1054-6452,1.840004,3.14E-15,*,2004
361,J1055-6022,J1055-6022,0.947558,9.24E-14,*,2004
362,J1055-6028,J1055-6028,0.099661,2.95E-14,*,2009
363,J1055-6236,J1055-6236,0.448635,7.08E-16,*,2003
364,J1055-6905,J1055-6905,2.919397,2.03E-14,*,2001
365,J1056-5709,J1056-5709,0.676082,5.76E-16,*,2001
366,B1054-62,J1056-6258,0.422451,3.58E-15,*,1978
367,J1056-7117,J1056-7117,0.02631,6.3E-20,He[nbb+14],2014
368,J1057-4754,J1057-4754,0.628306,2.25E-16,*,2001
369,B1055-52,J1057-5226,0.197115,5.84E-15,*,1972
370,J1057-5851,J1057-5851,0.620365,1.01E-13,*,2017
371,B1056-78,J1057-7914,1.347402,1.33E-15,*,1978
372,J1058-5957,J1058-5957,0.61627,6.57E-16,*,2003
373,B1056-57,J1059-5742,1.185003,4.3E-15,*,1978
374,J1059+6459,J1059+6459,3.63117,5.74E-15,*,2014
375,J1101-6101,J1101-6101,0.0628,8.56E-15,*,2014
376,J1101-6424,J1101-6424,0.005109,1.8E-21,CO[ncb+15],2015
