,NAME,PSRJ,P0,P1,BINCOMP,
271,J0645+80,J0645+80,0.657873,NAN,NAN,
272,J0646+0905,J0646+0905,0.903913,7.36E-16,NAN,
273,J0647+0913,J0647+0913,1.234854,6.42E-15,NAN,
274,J0652-0142,J0652-0142,0.924054,1.52E-16,NAN,
275,J0653+4706,J0653+4706,0.00475,NAN,NAN,
276,B0643+80,J0653+8051,1.214441,3.8E-15,NAN,
277,J0656-2228,J0656-2228,1.224754,2.67E-17,NAN,
278,J0656-5449,J0656-5449,0.183157,3.19E-17,NAN,
279,J0658+0022,J0658+0022,0.563295,9.15E-15,NAN,
280,B0656+14,J0659+1414,0.384929,5.49E-14,NAN,
281,B0655+64,J0700+6418,0.195671,6.85E-19,CO,
282,J0702-4956,J0702-4956,0.665994,NAN,NAN,
283,J0709+0458,J0709+0458,0.034429,3.8E-19,CO,
284,J0709-5923,J0709-5923,0.485268,1.26E-16,NAN,
285,J0711+0931,J0711+0931,1.21409,4E-16,NAN,
286,J0711-6830,J0711-6830,0.005491,1.49E-20,NAN,
287,J0719-2545,J0719-2545,0.974725,7.28E-15,NAN,
288,J0720-3125,J0720-3125,8.391116,6.98E-14,NAN,
289,J0721-2038,J0721-2038,0.015542,4.4E-20,CO,
290,J0725-1635,J0725-1635,0.424311,9.26E-17,NAN,
291,J0726-2612,J0726-2612,3.442308,2.93E-13,NAN,
292,J0729-1448,J0729-1448,0.251659,1.13E-13,NAN,
293,B0727-18,J0729-1836,0.51016,1.9E-14,NAN,
294,J0732+2314,J0732+2314,0.00409,6.02E-21,He,
295,J0733-2345,J0733-2345,1.79625,5.7E-15,NAN,
296,J0734-1559,J0734-1559,0.15625,1.22E-14,NAN,
297,J0736-6304,J0736-6304,4.862874,1.52E-13,NAN,
298,J0737-2202,J0737-2202,0.320366,5.47E-15,NAN,
299,J0737-3039A,J0737-3039A,0.022699,1.76E-18,NS,
300,J0737-3039B,J0737-3039B,2.773461,8.92E-16,NS,
301,B0736-40,J0738-4042,0.374921,1.38E-15,NAN,
302,J0738+6904,J0738+6904,6.827693,2.7E-14,NAN,
303,J0740+41,J0740+41,0.003139,NAN,NAN,
304,J0740+6620,J0740+6620,0.002886,1.22E-20,He,
305,B0740-28,J0742-2822,0.166762,1.68E-14,NAN,
306,J0742+43,J0742+43,0.6062,NAN,NAN,
307,B0743-53,J0745-5353,0.214836,2.73E-15,NAN,
308,J0746-4529,J0746-4529,2.791025,1.67E-14,NAN,
309,J0747+6646,J0747+6646,0.407701,6.78E-16,NAN,
310,J0749-4247,J0749-4247,1.095452,9.77E-16,NAN,
311,J0749-68,J0749-68,0.915171,NAN,NAN,
312,J0750+57,J0750+57,1.174875,NAN,NAN,
313,J0751+1807,J0751+1807,0.003479,7.79E-21,He,
314,J0753-0816,J0753-0816,2.09362,NAN,NAN,
315,B0751+32,J0754+3231,1.442349,1.08E-15,NAN,
316,B0756-15,J0758-1528,0.682265,1.62E-15,NAN,
317,J0802-09,J0802-09,0.571256,NAN,NAN,
318,J0803+34,J0803+34,NAN,NAN,NAN,
319,J0804-3647,J0804-3647,2.191987,4.21E-15,NAN,
320,J0806+08,J0806+08,2.0631,NAN,NAN,
321,J0806-4123,J0806-4123,11.370386,5.56E-14,NAN,
322,J0807-5421,J0807-5421,0.526644,3.78E-16,NAN,
323,J0808-3937,J0808-3937,0.866349,4.01E-16,NAN,
324,B0808-47,J0809-4753,0.547202,3.08E-15,NAN,
325,J0811+37,J0811+37,1.2483,NAN,NAN,
326,J0812-3905,J0812-3905,0.482596,4.49E-17,NAN,
